LTL_Picker,LTL_Lines,Date
8000,19,2/24/2006
,,2/24/2006
176,418,2/27/2006
209,155,2/27/2006
278,155,2/27/2006
248,155,2/27/2006
230,155,2/27/2006
en,3,2/27/2006
230,58,2/27/2006
8000,150,2/27/2006
8001,52,2/27/2006
176,82,2/27/2006
79,35,2/27/2006
176,470,2/28/2006
209,170,2/28/2006
278,170,2/28/2006
248,170,2/28/2006
230,170,2/28/2006
en,8,2/28/2006
79,100,2/28/2006
8000,17,2/28/2006
8001,100,2/28/2006
176,80,2/28/2006
446,44,2/28/2006
79,30,2/28/2006
176,434,3/1/2006
209,160,3/1/2006
248,160,3/1/2006
278,160,3/1/2006
230,160,3/1/2006
en,12,3/1/2006
79,10,3/1/2006
8000,158,3/1/2006
8001,100,3/1/2006
176,86,3/1/2006
79,60,3/1/2006
en,11,3/2/2006
176,464,3/2/2006
209,135,3/2/2006
230,135,3/2/2006
248,135,3/2/2006
278,135,3/2/2006
209,205,3/2/2006
79,75,3/2/2006
8000,184,3/2/2006
8001,100,3/2/2006
176,61,3/2/2006
79,31,3/2/2006
en,22,3/3/2006
176,460,3/3/2006
209,165,3/3/2006
278,165,3/3/2006
248,165,3/3/2006
176,65,3/3/2006
209,23,3/3/2006
248,23,3/3/2006
278,23,3/3/2006
79,70,3/3/2006
79,91,3/3/2006
8000,200,3/3/2006
8001,100,3/3/2006
en,11,3/6/2006
176,460,3/6/2006
209,180,3/6/2006
278,180,3/6/2006
248,180,3/6/2006
230,180,3/6/2006
8000,278,3/6/2006
8001,200,3/6/2006
209,11,3/6/2006
176,78,3/6/2006
,,3/6/2006
176,471,3/7/2006
209,150,3/7/2006
278,150,3/7/2006
248,150,3/7/2006
230,150,3/7/2006
en,9,3/7/2006
176,79,3/7/2006
446,34,3/7/2006
79,200,3/7/2006
8000,162,3/7/2006
,,3/7/2006
176,474,3/8/2006
209,160,3/8/2006
278,160,3/8/2006
248,160,3/8/2006
230,160,3/8/2006
en,8,3/8/2006
230,174,3/8/2006
79,83,3/8/2006
8000,199,3/8/2006
176,26,3/8/2006
79,52,3/8/2006
176,467,3/9/2006
209,175,3/9/2006
248,175,3/9/2006
278,175,3/9/2006
230,175,3/9/2006
EN,64,3/9/2006
209,210,3/9/2006
79,137,3/9/2006
176,496,6/13/2006
101,100,6/13/2006
278,150,6/13/2006
248,150,6/13/2006
230,150,6/13/2006
415,50,6/13/2006
502,36,6/13/2006
415,274,6/13/2006
502,45,6/13/2006
176,54,6/13/2006
203,36,6/13/2006
en,12,6/14/2006
176,479,6/14/2006
278,150,6/14/2006
248,150,6/14/2006
230,150,6/14/2006
101,100,6/14/2006
415,34,6/14/2006
502,44,6/14/2006
278,220,6/14/2006
415,166,6/14/2006
176,21,6/14/2006
278,18,6/14/2006
248,18,6/14/2006
230,18,6/14/2006
278,183,6/15/2006
248,189,6/15/2006
230,153,6/15/2006
176,472,6/15/2006
101,52,6/15/2006
278,140,6/15/2006
,,6/15/2006
,,6/15/2006
,,6/15/2006
,,6/15/2006
176,492,6/16/2006
278,150,6/16/2006
248,150,6/16/2006
230,150,6/16/2006
101,50,6/16/2006
415,49,6/16/2006
502,47,6/16/2006
EN,12,6/16/2006
,,6/16/2006
en,12,6/19/2006
278,150,6/19/2006
230,150,6/19/2006
176,462,6/19/2006
176,88,6/19/2006
101,100,6/19/2006
101,191,6/19/2006
145,223,6/19/2006
79,19,6/19/2006
en,22,6/20/2006
176,471,6/20/2006
101,100,6/20/2006
278,150,6/20/2006
248,150,6/20/2006
230,150,6/20/2006
415,60,6/20/2006
203,25,6/20/2006
278,15,6/20/2006
248,16,6/20/2006
230,16,6/20/2006
176,78,6/20/2006
415,190,6/20/2006
145,222,6/20/2006
BO,27,6/20/2006
en,6,6/21/2006
278,150,6/21/2006
248,150,6/21/2006
230,100,6/21/2006
176,500,6/21/2006
101,100,6/21/2006
415,74,6/21/2006
230,101,6/21/2006
101,100,6/21/2006
415,279,6/21/2006
176,50,6/21/2006
230,16,6/21/2006
en,10,6/22/2006
176,501,6/22/2006
278,150,6/22/2006
248,150,6/22/2006
230,150,6/22/2006
415,83,6/22/2006
101,100,6/22/2006
230,259,6/22/2006
415,303,6/22/2006
176,79,6/22/2006
BO,67,6/22/2006
EN,14,6/23/2006
278,150,6/23/2006
248,150,6/23/2006
230,150,6/23/2006
176,493,6/23/2006
101,100,6/23/2006
415,49,6/23/2006
278,210,6/23/2006
176,57,6/23/2006
415,138,6/23/2006
203,40,6/23/2006
B,73,6/23/2006
en,13,6/26/2006
176,461,6/26/2006
101,100,6/26/2006
278,150,6/26/2006
248,150,6/26/2006
230,150,6/26/2006
415,38,6/26/2006
230,108,6/26/2006
176,97,6/26/2006
415,262,6/26/2006
b,28,6/26/2006
b,18,6/26/2006
en,19,6/27/2006
176,491,6/27/2006
101,100,6/27/2006
278,185,6/27/2006
248,185,6/27/2006
230,185,6/27/2006
415,82,6/27/2006
278,135,6/27/2006
248,135,6/27/2006
230,135,6/27/2006
B,41,6/27/2006
176,59,6/27/2006
79,30,6/27/2006
en,20,6/28/2006
176,520,6/28/2006
278,160,6/28/2006
248,160,6/28/2006
230,160,6/28/2006
101,100,6/28/2006
415,101,6/28/2006
278,43,6/28/2006
248,43,6/28/2006
230,43,6/28/2006
415,166,6/28/2006
79,47,6/28/2006
415,14,6/28/2006
EN,16,6/29/2006
176,500,6/29/2006
278,193,6/29/2006
248,193,6/29/2006
101,100,6/29/2006
415,100,6/29/2006
145,165,6/29/2006
237,165,6/29/2006
415,140,6/29/2006
9008,100,6/29/2006
176,50,6/29/2006
9006,48,6/29/2006
en,10,6/30/2006
176,459,6/30/2006
278,147,6/30/2006
248,147,6/30/2006
230,147,6/30/2006
101,100,6/30/2006
415,68,6/30/2006
176,60,6/30/2006
B,14,6/30/2006
278,70,6/30/2006
415,75,6/30/2006
9007,68,6/30/2006
EN,5,7/3/2006
278,126,7/3/2006
248,126,7/3/2006
230,126,7/3/2006
176,500,7/3/2006
101,50,7/3/2006
415,50,7/3/2006
176,57,7/3/2006
278,122,7/3/2006
248,122,7/3/2006
230,122,7/3/2006
415,122,7/3/2006
en,10,7/5/2006
278,100,7/5/2006
248,100,7/5/2006
230,100,7/5/2006
176,469,7/5/2006
101,32,7/5/2006
278,120,7/5/2006
248,121,7/5/2006
230,121,7/5/2006
176,31,7/5/2006
230,11,7/5/2006
248,11,7/5/2006
278,11,7/5/2006
